food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
OSR110,Banana appam,open_source_recipes,1938.60,469.81,20.06,1.17,42.53,9.95,0.67,5727.34,8540.80,26201.35,0.00,13.74,27.05,19.47,20.14,142.99,0.77,0.07,0.44,0.00,0.18,0.00,0.09,0.00,20.46,0.11,0.00,3.04,0.00,4.75,0.02,0.01,0.31,0.08,0.17,0.34,4.75,1.39,49.71,appam,5629.22,1364.20,58.24,3.39,123.49,28.89,1.96,16630.77,24800.34,76082.18,0.00,39.89,78.54,56.54,58.47,415.22,2.23,0.20,1.29,0.01,0.54,0.01,0.27,0.00,59.42,0.33,0.00,8.82,0.00,13.79,0.05,0.04,0.91,0.24,0.50,0.98,13.79,4.03,144.34
OSR111,Veg manchurian,open_source_recipes,2411.09,585.64,6.82,0.89,61.65,0.76,1.16,7412.22,12631.26,39028.96,0.00,16.79,16.34,7.53,65.31,83.30,0.31,0.03,0.33,0.00,0.10,0.01,0.12,0.00,30.33,0.45,0.00,22.80,0.00,13.61,0.02,0.02,0.15,0.10,0.05,0.70,13.61,7.75,912.78,plate,4700.37,1141.69,13.29,1.73,120.19,1.48,2.26,14449.94,24624.33,76085.98,0.00,32.74,31.86,14.69,127.33,162.38,0.60,0.06,0.65,0.00,0.20,0.01,0.24,0.00,59.13,0.88,0.00,44.46,0.00,26.53,0.04,0.03,0.29,0.20,0.10,1.37,26.53,15.10,1779.44
OSR112,Pav bhaji,open_source_recipes,401.63,96.53,11.99,2.66,4.32,2.06,1.98,2223.01,943.10,629.00,8.91,24.86,19.19,12.69,163.89,139.30,0.97,0.05,0.27,0.00,0.20,0.01,0.18,40.06,0.15,2.51,0.00,11.63,0.00,29.34,0.21,0.07,1.14,0.16,0.06,0.95,29.34,13.16,1629.76,,2334.15,560.98,69.70,15.46,25.09,11.96,11.50,12919.51,5481.02,3655.58,51.76,144.48,111.52,73.76,952.50,809.58,5.63,0.29,1.58,0.02,1.15,0.05,1.06,232.79,0.88,14.60,0.00,67.57,0.00,170.49,1.23,0.43,6.65,0.92,0.33,5.53,170.49,76.48,9471.73
OSR113,Rice murukku,open_source_recipes,2454.31,593.99,33.29,5.41,48.22,0.17,2.18,6839.54,10044.71,28886.18,5.32,24.63,98.69,29.19,63.31,224.26,1.70,0.21,7.09,0.00,0.26,0.01,0.58,23.95,21.98,0.25,0.00,3.31,0.00,26.57,0.09,0.04,1.04,0.25,0.10,0.26,26.57,0.00,173.22,piece,757.33,183.29,10.27,1.67,14.88,0.05,0.67,2110.49,3099.51,8913.45,1.64,7.60,30.45,9.01,19.54,69.20,0.52,0.06,2.19,0.00,0.08,0.00,0.18,7.39,6.78,0.08,0.00,1.02,0.00,8.20,0.03,0.01,0.32,0.08,0.03,0.08,8.20,0.00,53.45
OSR114,Bhel puri ,open_source_recipes,2104.69,509.89,16.47,3.52,47.91,3.41,2.24,5770.93,9933.39,30080.44,0.00,24.22,47.03,22.42,93.98,150.56,1.29,0.10,0.72,0.00,0.36,0.02,0.38,0.00,23.33,1.20,0.00,7.79,0.00,22.40,0.07,0.03,0.56,0.23,0.09,1.04,22.40,4.51,359.34,plate,14751.11,3573.64,115.42,24.65,335.80,23.89,15.70,40446.69,69620.16,210824.77,0.00,169.76,329.63,157.11,658.66,1055.26,9.04,0.68,5.03,0.03,2.54,0.17,2.67,0.00,163.48,8.40,0.00,54.57,0.00,157.03,0.52,0.24,3.96,1.62,0.66,7.29,157.03,31.61,2518.48
OSR115,Semolina dhokla (Suji/Rava dhokla),open_source_recipes,814.09,194.91,30.86,5.44,5.20,1.85,5.12,1593.49,876.99,2054.16,0.00,31.17,67.37,28.69,443.39,194.28,2.52,0.25,5.53,0.01,1.39,0.05,1.09,0.00,1.62,4.31,0.00,12.38,0.00,15.23,0.14,0.03,0.66,0.38,0.08,0.51,15.23,3.65,732.86,plate,815.95,195.36,30.94,5.45,5.21,1.85,5.13,1597.11,878.99,2058.83,0.00,31.25,67.52,28.76,444.40,194.72,2.53,0.25,5.54,0.01,1.40,0.05,1.09,0.00,1.62,4.32,0.00,12.40,0.00,15.26,0.14,0.03,0.66,0.38,0.08,0.51,15.26,3.66,734.53
OSR116,Spicy corn chaat ,open_source_recipes,1982.01,479.80,11.45,4.61,46.55,0.95,2.17,6351.30,9680.51,28344.52,3.89,17.28,58.68,21.18,86.50,124.80,0.84,0.07,0.72,0.00,0.35,0.01,0.38,17.50,22.02,0.20,0.00,5.47,0.00,41.03,0.11,0.04,0.75,0.36,0.09,1.47,41.03,2.54,168.41,plate,10984.77,2659.17,63.44,25.53,258.00,5.25,12.01,35200.49,53651.82,157092.44,21.57,95.75,325.23,117.37,479.40,691.67,4.65,0.41,4.02,0.00,1.94,0.06,2.10,97.00,122.07,1.11,0.00,30.33,0.00,227.37,0.61,0.25,4.16,2.01,0.49,8.17,227.37,14.10,933.39
OSR118,Jackfruit fritters (Ponsa mulik/Kathal ka pakora),open_source_recipes,2467.55,597.79,24.00,2.34,54.41,11.48,1.50,7863.88,11106.46,32627.24,0.00,24.62,47.74,30.82,46.39,176.51,1.15,0.15,1.36,0.00,0.29,0.01,0.27,0.00,25.47,1.63,0.00,9.90,0.00,9.23,0.04,0.01,0.42,0.10,0.15,0.88,9.23,1.18,25.49,mulik/fritter,660.95,160.12,6.43,0.63,14.57,3.08,0.40,2106.40,2974.95,8739.44,0.00,6.59,12.79,8.26,12.43,47.28,0.31,0.04,0.36,0.00,0.08,0.00,0.07,0.00,6.82,0.44,0.00,2.65,0.00,2.47,0.01,0.00,0.11,0.03,0.04,0.23,2.47,0.32,6.83
OSR119,Banana chips (Kele ke chips),open_source_recipes,2739.08,665.67,7.32,0.37,70.46,4.37,0.65,8484.23,14442.96,44622.74,0.00,2.01,6.12,9.04,86.87,106.43,0.19,0.04,0.00,0.00,0.11,0.00,0.04,0.00,34.69,0.06,0.00,5.08,0.00,5.26,0.00,0.01,0.14,0.10,0.15,0.45,5.26,2.37,76.30,bowl,4666.70,1134.13,12.48,0.63,120.04,7.45,1.11,14455.00,24607.19,76026.00,0.00,3.42,10.43,15.39,148.00,181.33,0.32,0.07,0.00,0.01,0.18,0.00,0.08,0.00,59.11,0.10,0.00,8.66,0.00,8.97,0.00,0.02,0.24,0.17,0.25,0.77,8.97,4.03,130.00
OSR120,Wheat cake,open_source_recipes,1314.90,314.63,41.13,4.79,14.95,25.79,2.76,9265.63,3820.00,672.31,40.13,98.91,187.85,39.22,82.96,183.29,1.08,0.13,13.77,0.00,0.73,0.00,1.02,174.67,0.39,3.27,0.00,1.57,0.00,11.37,0.13,0.18,0.66,0.46,0.08,1.32,11.37,1.14,179.98,piece,878.52,210.21,27.48,3.20,9.99,17.23,1.85,6190.60,2552.24,449.18,26.81,66.09,125.51,26.20,55.43,122.46,0.72,0.09,9.20,0.00,0.48,0.00,0.68,116.70,0.26,2.18,0.00,1.05,0.00,7.60,0.09,0.12,0.44,0.31,0.05,0.88,7.60,0.76,120.25
OSR121,Mango cheesecake,open_source_recipes,518.58,152.46,20.06,2.39,7.30,15.36,1.14,3705.42,2165.22,449.45,16.90,55.10,51.83,13.97,107.12,139.64,0.53,0.08,2.45,0.01,0.21,0.00,0.36,41.19,0.62,1.60,0.20,2.43,0.82,39.43,0.03,0.08,0.31,0.28,0.07,0.98,39.43,14.31,620.18,slice,903.30,265.56,34.94,4.16,12.72,26.75,1.99,6454.38,3771.54,782.89,29.44,95.97,90.28,24.33,186.60,243.24,0.92,0.13,4.27,0.01,0.36,0.00,0.62,71.75,1.08,2.78,0.35,4.24,1.43,68.68,0.06,0.13,0.54,0.49,0.12,1.71,68.68,24.93,1080.28
OSR122,Carrot cake (Gajar ka cake),open_source_recipes,1070.74,255.59,35.98,5.60,10.27,23.96,2.93,3186.86,2368.67,4102.84,11.61,156.10,239.44,39.07,158.74,273.12,1.03,0.11,10.96,0.00,0.63,0.00,1.04,44.02,3.15,2.71,0.00,4.43,0.00,17.07,0.12,0.23,0.61,0.61,0.10,2.29,17.07,3.12,1939.44,slice,1070.20,255.46,35.97,5.60,10.26,23.94,2.93,3185.27,2367.48,4100.79,11.60,156.02,239.32,39.05,158.66,272.98,1.03,0.11,10.96,0.00,0.63,0.00,1.04,44.00,3.15,2.71,0.00,4.43,0.00,17.06,0.12,0.23,0.61,0.61,0.10,2.29,17.06,3.12,1938.47
OSR123,Semolina cake (Suji/Rava cake),open_source_recipes,1564.42,374.14,31.32,6.58,25.18,18.86,5.37,16261.69,3745.04,716.87,27.06,128.28,197.63,39.58,91.36,349.46,1.36,0.29,8.76,0.01,0.79,0.01,1.08,101.81,1.95,1.55,0.00,0.98,0.00,15.97,0.09,0.17,0.47,0.50,0.08,1.88,15.97,1.60,297.17,square,923.01,220.74,18.48,3.88,14.86,11.13,3.17,9594.40,2209.58,422.95,15.97,75.68,116.60,23.35,53.90,206.18,0.80,0.17,5.17,0.00,0.47,0.01,0.64,60.07,1.15,0.91,0.00,0.58,0.00,9.42,0.06,0.10,0.28,0.30,0.05,1.11,9.42,0.94,175.33
OSR124,Finger millet cake (Ragi cake),open_source_recipes,1169.77,279.46,38.93,3.96,12.27,24.76,2.35,7521.13,3192.04,514.95,25.20,118.38,173.84,49.57,98.26,191.33,1.35,0.28,6.78,0.01,0.66,0.00,0.98,112.00,0.36,6.36,0.00,1.40,0.00,11.57,0.10,0.10,0.46,0.27,0.05,1.06,11.57,0.78,186.40,slice,1153.59,275.60,38.39,3.90,12.10,24.42,2.32,7417.09,3147.88,507.82,24.85,116.75,171.43,48.88,96.90,188.68,1.33,0.28,6.69,0.01,0.65,0.00,0.96,110.45,0.35,6.27,0.00,1.38,0.00,11.41,0.10,0.10,0.45,0.26,0.05,1.05,11.41,0.76,183.82
OSR125,Honey cake,open_source_recipes,1395.88,333.59,49.04,3.08,14.70,33.43,0.51,2183.64,3049.27,8790.58,1.54,50.86,95.63,9.73,72.55,88.76,0.46,0.06,0.51,0.00,0.16,0.00,0.45,3.93,6.80,1.23,0.00,1.05,0.00,6.15,0.04,0.07,0.20,0.23,0.03,0.65,6.15,0.32,70.76,slice,2284.88,546.05,80.27,5.04,24.07,54.73,0.83,3574.34,4991.27,14389.08,2.53,83.25,156.54,15.93,118.76,145.29,0.75,0.10,0.83,0.00,0.26,0.00,0.73,6.43,11.13,2.02,0.00,1.72,0.00,10.06,0.06,0.11,0.34,0.38,0.05,1.07,10.06,0.53,115.82
OSR126,Almond cardamom cake (Badam elaichi cake),open_source_recipes,1488.45,356.35,34.53,7.18,21.36,18.06,2.35,8781.48,8635.24,2373.45,74.32,81.29,207.42,52.90,155.37,173.38,1.29,0.22,5.64,0.00,0.52,0.01,0.94,157.18,3.89,1.75,0.10,2.36,1.79,15.94,0.07,0.10,0.69,0.52,0.06,3.14,15.94,0.54,206.28,slice,1014.31,242.84,23.53,4.89,14.55,12.31,1.60,5984.21,5884.56,1617.40,50.65,55.40,141.35,36.05,105.88,118.15,0.88,0.15,3.84,0.00,0.36,0.01,0.64,107.11,2.65,1.19,0.07,1.61,1.22,10.86,0.05,0.07,0.47,0.35,0.04,2.14,10.86,0.37,140.57
OSR127,Tutti frutti cake,open_source_recipes,1454.10,347.72,52.94,4.49,12.68,28.08,0.85,1872.73,2609.24,7589.97,2.46,61.41,134.12,14.16,106.36,109.79,0.62,0.08,0.45,0.00,0.19,0.00,0.47,6.27,5.83,2.06,0.00,1.05,0.00,9.01,0.06,0.08,0.28,0.33,0.05,0.76,9.01,0.22,87.46,cake,12334.41,2949.55,449.04,38.09,107.58,238.23,7.18,15885.43,22132.86,64381.88,20.90,520.89,1137.69,120.10,902.18,931.32,5.23,0.66,3.80,0.01,1.64,0.01,3.97,53.20,49.44,17.50,0.00,8.90,0.00,76.45,0.50,0.67,2.39,2.82,0.40,6.45,76.45,1.90,741.90
OSR128,Ham and Bean soup,open_source_recipes,401.91,96.04,4.18,10.61,4.15,1.43,0.54,865.30,2297.71,634.53,25.92,20.52,207.48,22.97,378.14,309.30,0.88,0.11,5.22,0.00,0.13,0.00,1.20,0.00,0.32,0.24,0.00,7.52,0.00,68.78,0.38,0.10,4.15,2.36,0.31,2.81,68.78,14.79,720.43,bowl,606.03,144.82,6.30,15.99,6.26,2.16,0.82,1304.76,3464.66,956.79,39.08,30.94,312.86,34.64,570.19,466.39,1.32,0.17,7.88,0.00,0.20,0.00,1.81,0.00,0.49,0.35,0.00,11.33,0.00,103.70,0.57,0.15,6.26,3.55,0.47,4.24,103.70,22.31,1086.31
OSR129,Whey soup,open_source_recipes,287.40,68.91,6.26,3.45,3.34,5.87,0.84,1390.65,993.06,683.14,0.83,164.92,116.09,19.08,87.08,158.89,0.55,0.07,4.78,0.02,0.08,0.00,0.81,1.65,0.47,0.10,0.00,1.25,0.00,15.09,0.04,0.13,0.12,0.39,0.04,2.93,15.09,1.14,54.21,bowl,642.09,153.96,13.98,7.72,7.46,13.11,1.88,3106.96,2218.67,1526.25,1.85,368.45,259.36,42.64,194.54,354.98,1.22,0.15,10.69,0.04,0.18,0.01,1.81,3.69,1.04,0.23,0.00,2.79,0.00,33.72,0.10,0.30,0.26,0.87,0.10,6.54,33.72,2.55,121.12
OSR130,Bottle gourd soup (Ghiya/Lauki soup),open_source_recipes,95.36,23.05,1.16,0.45,1.79,0.39,0.96,358.40,1170.08,162.30,0.72,15.14,14.68,5.92,53.81,61.68,0.26,0.03,0.76,0.00,0.08,0.00,0.10,2.29,0.09,0.34,0.00,2.02,0.00,17.87,0.01,0.01,0.08,0.24,0.01,1.15,17.87,2.03,56.98,bowl,281.40,68.01,3.43,1.34,5.30,1.15,2.83,1057.56,3452.67,478.92,2.13,44.69,43.31,17.47,158.77,182.00,0.76,0.08,2.26,0.01,0.25,0.01,0.31,6.75,0.27,1.01,0.00,5.96,0.00,52.73,0.04,0.02,0.23,0.71,0.04,3.39,52.73,6.00,168.14
OSR131,Baked potato soup,open_source_recipes,611.18,147.05,5.85,5.73,11.21,3.44,0.30,6188.45,3297.93,657.61,26.31,106.56,128.17,12.65,268.69,184.87,0.27,0.04,2.36,0.00,0.04,0.00,0.58,64.97,0.27,0.14,0.00,1.00,0.00,8.15,0.13,0.11,1.03,0.42,0.11,1.90,8.15,3.62,167.06,bowl,3199.74,769.88,30.63,30.01,58.68,18.00,1.56,32398.61,17265.77,3442.83,137.73,557.89,671.00,66.24,1406.69,967.88,1.40,0.22,12.38,0.01,0.22,0.01,3.01,340.12,1.40,0.72,0.00,5.24,0.00,42.67,0.66,0.56,5.37,2.21,0.59,9.93,42.67,18.93,874.62
OSR132,Pumpkin soup,open_source_recipes,165.55,40.05,2.08,0.47,3.20,1.47,1.19,616.28,2153.91,272.50,0.86,12.17,11.85,5.38,45.50,115.19,0.19,0.03,0.18,0.00,0.05,0.00,0.06,4.57,0.41,0.64,0.00,37.00,0.00,11.22,0.01,0.02,0.19,0.09,0.04,0.82,11.22,3.61,614.57,bowl,527.15,127.51,6.61,1.50,10.19,4.68,3.79,1962.34,6858.40,867.68,2.75,38.76,37.72,17.12,144.87,366.77,0.60,0.10,0.57,0.00,0.14,0.01,0.20,14.55,1.29,2.03,0.00,117.81,0.00,35.73,0.05,0.05,0.59,0.29,0.12,2.60,35.73,11.50,1956.88
OSR133,Sweet corn soup,open_source_recipes,135.27,32.25,3.56,0.99,1.63,0.90,0.31,198.92,364.54,915.44,0.00,3.72,26.14,11.22,22.35,86.92,0.41,0.02,0.01,0.00,0.17,0.00,0.14,0.00,0.66,0.11,0.00,1.07,0.00,12.78,0.04,0.02,0.52,0.21,0.03,0.18,12.78,2.63,320.71,bowl,530.54,126.48,13.98,3.88,6.40,3.51,1.22,780.21,1429.81,3590.57,0.00,14.60,102.51,44.02,87.66,340.92,1.60,0.07,0.06,0.00,0.67,0.01,0.56,0.00,2.57,0.42,0.00,4.20,0.00,50.13,0.17,0.06,2.03,0.81,0.10,0.72,50.13,10.33,1257.89
OSR134,Paneer soup,open_source_recipes,200.03,47.85,2.42,3.22,2.80,1.98,0.28,1497.13,792.66,294.54,0.00,82.76,56.74,6.55,68.03,27.66,0.30,0.03,3.96,0.02,0.10,0.01,0.47,0.00,0.17,0.33,0.00,5.16,0.00,17.44,0.01,0.02,0.05,0.10,0.02,3.52,17.44,1.24,85.73,bowl,1221.69,292.25,14.81,19.68,17.11,12.08,1.71,9143.69,4841.19,1798.91,0.00,505.46,346.57,40.01,415.51,168.94,1.85,0.16,24.16,0.11,0.64,0.03,2.89,0.00,1.07,2.04,0.00,31.51,0.00,106.50,0.03,0.12,0.28,0.58,0.10,21.47,106.50,7.59,523.62
OSR135,Curried Cauliflower soup,open_source_recipes,155.50,37.32,3.12,6.72,9.77,1.79,2.34,1281.94,538.99,179.05,4.77,37.25,74.48,33.71,7311.44,333.51,2.12,0.06,0.23,0.00,0.43,0.07,0.35,17.89,0.14,0.52,0.00,5.01,0.00,15.26,0.02,0.03,0.19,0.22,0.06,0.88,15.26,14.91,92.27,cup,540.96,129.84,10.84,23.36,34.00,6.23,8.14,4459.71,1875.06,622.90,16.60,129.59,259.10,117.26,25435.58,1160.22,7.37,0.21,0.81,0.01,1.49,0.23,1.23,62.24,0.49,1.79,0.00,17.42,0.00,53.08,0.07,0.11,0.65,0.76,0.20,3.07,53.08,51.86,321.01
